country_code,country_name,region,income_group,capital_city
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Algiers
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella
AGO,Angola,Sub-Saharan Africa,Lower middle income,Luanda
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Saint John's
ARG,Argentina,Latin America & Caribbean,Upper middle income,Buenos Aires
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan
ABW,Aruba,Latin America & Caribbean,High income,Oranjestad
AUS,Australia,East Asia & Pacific,High income,Canberra
AUT,Austria,Europe & Central Asia,High income,Vienna
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku
BHS,"Bahamas, The",Latin America & Caribbean,High income,Nassau
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama
BGD,Bangladesh,South Asia,Lower middle income,Dhaka
BRB,Barbados,Latin America & Caribbean,High income,Bridgetown
BLR,Belarus,Europe & Central Asia,Upper middle income,Minsk
BEL,Belgium,Europe & Central Asia,High income,Brussels
BLZ,Belize,Latin America & Caribbean,Upper middle income,Belmopan
BEN,Benin,Sub-Saharan Africa,Lower middle income,Porto-Novo
BMU,Bermuda,North America,High income,Hamilton
BTN,Bhutan,South Asia,Lower middle income,Thimphu
BOL,Bolivia,Latin America & Caribbean,Lower middle income,La Paz
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Gaborone
BRA,Brazil,Latin America & Caribbean,Upper middle income,Brasilia
VGB,British Virgin Islands,Latin America & Caribbean,High income,Road Town
BRN,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan
BGR,Bulgaria,Europe & Central Asia,High income,Sofia
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Ouagadougou
BDI,Burundi,Sub-Saharan Africa,Low income,Bujumbura
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Praia
KHM,Cambodia,East Asia & Pacific,Lower middle income,Phnom Penh
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Yaounde
CAN,Canada,North America,High income,Ottawa
CYM,Cayman Islands,Latin America & Caribbean,High income,George Town
CAF,Central African Republic,Sub-Saharan Africa,Low income,Bangui
TCD,Chad,Sub-Saharan Africa,Low income,N'Djamena
CHI,Channel Islands,Europe & Central Asia,High income,
CHL,Chile,Latin America & Caribbean,High income,Santiago
CHN,China,East Asia & Pacific,Upper middle income,Beijing
COL,Colombia,Latin America & Caribbean,Upper middle income,Bogota
COM,Comoros,Sub-Saharan Africa,Lower middle income,Moroni
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Kinshasa
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Brazzaville
CRI,Costa Rica,Latin America & Caribbean,High income,San Jose
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Yamoussoukro
HRV,Croatia,Europe & Central Asia,High income,Zagreb
CUB,Cuba,Latin America & Caribbean,Upper middle income,Havana
CUW,Curacao,Latin America & Caribbean,High income,Willemstad
CYP,Cyprus,Europe & Central Asia,High income,Nicosia
CZE,Czechia,Europe & Central Asia,High income,Prague
DNK,Denmark,Europe & Central Asia,High income,Copenhagen
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Djibouti
DMA,Dominica,Latin America & Caribbean,Upper middle income,Roseau
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Santo Domingo
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Quito
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Cairo
SLV,El Salvador,Latin America & Caribbean,Upper middle income,San Salvador
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Malabo
ERI,Eritrea,Sub-Saharan Africa,Low income,Asmara
EST,Estonia,Europe & Central Asia,High income,Tallinn
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Mbabane
ETH,Ethiopia,Sub-Saharan Africa,Not classified,Addis Ababa
FRO,Faroe Islands,Europe & Central Asia,High income,Torshavn
FJI,Fiji,East Asia & Pacific,Upper middle income,Suva
FIN,Finland,Europe & Central Asia,High income,Helsinki
FRA,France,Europe & Central Asia,High income,Paris
PYF,French Polynesia,East Asia & Pacific,High income,Papeete
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Libreville
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Banjul
GEO,Georgia,Europe & Central Asia,Upper middle income,Tbilisi
DEU,Germany,Europe & Central Asia,High income,Berlin
