country_code,year,population_total,population_growth_pct,fertility_rate,life_expectancy,birth_rate,death_rate,pct_age_0_14,pct_age_15_64,pct_age_65_plus,urban_population_pct,dependency_ratio
ABW,1960,54922,,4.57,64.05,32.04,7.52,42.51,54.63,2.86,59.02,83.05
ABW,1961,55578,1.19,4.42,64.22,31.22,7.35,42.18,54.95,2.87,59.07,81.97
ABW,1962,56320,1.33,4.26,64.6,30.39,7.07,41.87,55.23,2.9,59.21,81.06
ABW,1963,57002,1.2,4.11,64.94,29.64,6.86,41.43,55.62,2.95,59.43,79.79
ABW,1964,57619,1.08,3.94,65.3,28.85,6.69,40.85,56.13,3.02,59.72,78.15
ABW,1965,58190,0.99,3.8,65.61,28.24,6.57,40.18,56.7,3.12,60.08,76.35
ABW,1966,58694,0.86,3.62,66.13,27.42,6.38,39.48,57.28,3.24,60.48,74.59
ABW,1967,58990,0.5,3.45,66.39,26.71,6.35,38.96,57.65,3.39,60.92,73.47
ABW,1968,59069,0.13,3.28,66.74,25.78,6.26,38.63,57.8,3.58,61.4,73.02
ABW,1969,59052,-0.03,3.11,67.1,24.8,6.19,38.28,57.92,3.79,61.9,72.64
ABW,1970,58950,-0.17,2.97,67.44,23.96,6.13,37.9,58.07,4.03,62.41,72.19
ABW,1971,58781,-0.29,2.86,67.78,23.24,6.08,37.43,58.31,4.26,62.93,71.51
ABW,1972,58047,-1.26,2.76,68.33,20.69,4.74,36.61,58.89,4.5,63.44,69.81
ABW,1973,58299,0.43,2.66,68.86,17.2,4.92,35.48,59.78,4.73,63.93,67.27
ABW,1974,58349,0.09,2.57,69.28,16.49,5.11,34.35,60.69,4.96,64.39,64.77
ABW,1975,58295,-0.09,2.5,69.56,16.6,4.91,33.24,61.59,5.17,64.82,62.37
ABW,1976,58368,0.13,2.43,69.81,16.12,5.14,32.11,62.49,5.4,65.21,60.03
ABW,1977,58580,0.36,2.37,70.05,16.95,5.46,31.03,63.33,5.65,65.53,57.91
ABW,1978,58776,0.33,2.31,70.27,18,4.83,30.1,64.04,5.86,65.8,56.16
ABW,1979,59191,0.7,2.26,70.51,17.99,5.37,29.33,64.64,6.03,65.98,54.7
ABW,1980,59909,1.21,2.2,70.77,18.78,4.81,28.73,65.1,6.18,66.09,53.62
ABW,1981,60563,1.09,2.16,71.34,17.35,5.23,28.33,65.31,6.36,66.1,53.1
ABW,1982,61276,1.17,2.14,71.48,16.91,5.11,27.93,65.48,6.59,66.07,52.72
ABW,1983,62228,1.54,2.15,71.61,18.21,5.45,27.47,65.72,6.81,66.01,52.16
