country_code,country_name,region,income_group,capital_city,is_aggregate
ABW,Aruba,Latin America & Caribbean ,High income,Oranjestad,FALSE
AFE,Africa Eastern and Southern,Aggregates,Aggregates,,TRUE
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,FALSE
AFR,Africa,Aggregates,Aggregates,,TRUE
AFW,Africa Western and Central,Aggregates,Aggregates,,TRUE
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Luanda,FALSE
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,FALSE
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,FALSE
ARB,Arab World,Aggregates,Aggregates,,TRUE
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,FALSE
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Buenos Aires,FALSE
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,FALSE
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,FALSE
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,Saint John's,FALSE
AUS,Australia,East Asia & Pacific,High income,Canberra,FALSE
AUT,Austria,Europe & Central Asia,High income,Vienna,FALSE
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,FALSE
BDI,Burundi,Sub-Saharan Africa ,Low income,Bujumbura,FALSE
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,Aggregates,,TRUE
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,Aggregates,,TRUE
BEL,Belgium,Europe & Central Asia,High income,Brussels,FALSE
BEN,Benin,Sub-Saharan Africa ,Lower middle income,Porto-Novo,FALSE
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,Ouagadougou,FALSE
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,FALSE
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,FALSE
BHI,IBRD countries classified as high income,Aggregates,Aggregates,,TRUE
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,FALSE
